lumeter_customer_ext_key,lumeter_system_ext_key,paygee_customer_ext_key,paygee_system_ext_key
3791,70583,2757,11324
2507,70634,2420,10942
1807,70649,2216,10699
1078,70661,2009,10450
1257,70670,2063,10512
3654,70697,2736,11301
1109,70707,2023,10465
1578,70712,,
4026,70730,27795,39829
1113,70775,2024,10467
23543,70808,27534,39205
5667,70821,3162,11784
4689,70833,2975,11569
1054,70845,2000,10440
1349,70859,2086,10543
4276,70872,2860,11442
930,70905,203,4294
1037,70911,1993,10431
1797,70952,212,4305
3164,70967,214,4307
3686,70973,2744,11309
929,70986,202,4293
1007,70994,1980,10418
3358,71004,2668,11223
2120,71025,2304,10813
2144,71058,2313,10823
3446,71111,2689,11249
3105,71139,2598,11141
3084,71140,2592,11135
2953,71173,2550,11086
2929,71210,2538,11073
3562,71222,1017,11276
